TERBINAFINE 250 MG + ITRACONAZOLE 100 MG ,ITORGO T 100MG/250MG,10 TAB,MEDIYORK PHARMA PVT LTD,310,GMP0332,173.5
TERBINAFINE 250 MG + ITRACONAZOLE 100 MG ,ITROMED PLUS 100MG/250MG,10 TAB,H & CARE INCORP,298,GMP0332,173.5
TERBINAFINE 250 MG + ITRACONAZOLE 100 MG ,ITOROX T 100MG/250MG,10 TAB,HI-CURE BIOTECH,304.5,GMP0332,173.5
TERBINAFINE 250 MG + ITRACONAZOLE 100 MG ,ITAREX PLUS 100MG/250MG,10 TAB,BIOVALENCE SKIN CARE,350,GMP0332,173.5
TERBINAFINE 250 MG + ITRACONAZOLE 100 MG ,TERBISEF IT 100MG/250MG,10 TAB,SAPHNIX LIFE SCIENCES,310,GMP0332,173.5
TERBINAFINE 250 MG + ITRACONAZOLE 100 MG ,ITRAPRO T 100MG/250MG,10 TAB,PROGRESSIVE LIFE CARE,255,GMP0332,173.5
TERBINAFINE 250 MG + ITRACONAZOLE 100 MG ,ITRACONOL TR 100MG/250MG,10 TAB,KNOLL HEALTHCARE PVT LTD,510,GMP0332,173.5
TERBINAFINE 250 MG + ITRACONAZOLE 100 MG ,ITRAGRAP TF 100MG/250MG,10 TAB,GRAPPLE LIFE SCIENCES PVT LTD,280,GMP0332,173.5
TERBINAFINE 250 MG + ITRACONAZOLE 100 MG ,TORABEST IT 100MG/250MG,7 TAB,BIOCHEMIX HEALTH CARE PVT. LTD.,245,GMP0332,121.45
TERBINAFINE 250 MG + ITRACONAZOLE 100 MG ,ITRA PLUS 100MG/250MG,10 TAB,AMBIT BIO MEDIX,308.4,GMP0332,173.5
TERBINAFINE 250 MG + ITRACONAZOLE 100 MG ,TERBIPURE IT 100MG/250MG,10 TAB,PUREMED BIOTECH,282.7,GMP0332,173.5
TERBINAFINE 250 MG + ITRACONAZOLE 100 MG ,DUOFAZE 100MG/250MG,6 TAB,MEGHA HEALTHCARE PVT LTD,156,GMP0332,104.1
TERBINAFINE 250 MG + ITRACONAZOLE 100 MG ,ITRADAC T 100MG/250MG,7 TAB,IKON REMEDIES PVT LTD,245,GMP0332,121.45
TERBINAFINE 250 MG + ITRACONAZOLE 100 MG ,TERBACT-IT,10 TAB,CANBRO HEALTHCARE,353,GMP0332,173.5
TERBINAFINE 250 MG + ITRACONAZOLE 100 MG ,ITROTEB 100MG/250MG,10 TAB,NUKIND HEALTHCARE PVT LTD,265,GMP0332,173.5
TERBINAFINE 250 MG + ITRACONAZOLE 100 MG ,TERBINID IT 100MG/250MG,10 TAB,NIDUS PHARMA PVT LTD,280,GMP0332,173.5
TORSEMIDE 5 MG,TIDE 5 MG,10 TAB,TORRENT PHARMACEUTICALS LTD,33.4,GMP0293,17.5
TORSEMIDE 5 MG,DYTOR 5 MG,15 TAB,CIPLA LTD,53.9,GMP0293,26.25
TORSEMIDE 5 MG,TORSID 5 MG,10 TAB,ARISTO PHARMACEUTICALS PVT LTD,27.25,GMP0293,17.5
TORSEMIDE 5 MG,TORSINEX  5 MG,10 TAB,MICRO LABS LTD,30.75,GMP0293,17.5
TORSEMIDE 5 MG,RETORLIX 5 MG,10 TAB,LUPIN LTD,35,GMP0293,17.5
