1,TAB,ACECLOFENAC 100 MG  +  PARACETAMOL 325 MG  + SERRATIOPEPTIDASE 15 MG,GMP0001,MEDICINE,LIFE VISION,PAIN KILLER,STRIP,10 TAB,98,33
2,TAB,ACECLOFENAC 100 MG + PARACETAMOL  325 MG,GMP0002,MEDICINE,LIFE VISION,PAIN KILLER,STRIP,10 TAB,47,22.5
3,TAB,ACECLOFENAC 100 MG + PARACETAMOL 325 MG  + CHLORZOXAZONE 250 MG,GMP0003,MEDICINE,LIFE VISION,PAIN KILLER,STRIP,10 TAB,82,33
4,TAB,ACECLOFENAC 100 MG + PARACETAMOL 325 MG + THIOCOLCHICOSIDE  4 MG,GMP0004,MEDICINE,LIFE VISION,PAIN KILLER,STRIP,10 TAB,205,128
5,TAB,ACECLOFENAC 100 MG,GMP0005,MEDICINE,ROUSSEL,PAIN KILLER,STRIP,10 TAB,42,11.3
6,TAB,ACECLOFENAC (SR) 200 MG,GMP0006,MEDICINE,ROUSSEL,PAIN KILLER,STRIP,10 TAB,52,27.5
7,CAP,ALPHA LIPOIC ACID 100 MG + FOLIC ACID 1.5 MG + THIAMINE MONONITRATE 10 MG + PYRIDOXINE HCL 3 MG + METHYCOBALAMINE 1500 MCG,GMP0007,MEDICINE,SUN LIFE,A TO Z,STRIP,10 CAP,158,68
8,LIQUID,AMBROXOL HYDROCHLORIDE 15 MG + TERBUTALINE SULPHATE 1.25 MG + GUAIPHENESIN 50 MG + MENTTHOL 1 MG,GMP0008,MEDICINE,ROUSSEL,COUGH SYRUP,BOTTLE,100 ML,90,46
9,TAB,AMITRIPTYLINE HYDROCHLORIDE  10 MG ,GMP0009,MEDICINE,LIFE MAX CANCER,A TO Z,STRIP,10 TAB,20,14.5
10,TAB,AMITRIPTYLINE HYDROCHLORIDE  25 MG,GMP0010,MEDICINE,LIFE MAX CANCER,A TO Z,STRIP,10 TAB,22.26,20.5
11,TAB,AMLODIPINE 10 MG,GMP0011,MEDICINE,TULBROS FORMULATIONS,CARDIAC,STRIP,10 TAB,22.26,15
12,TAB,AMLODIPINE 2.5 MG,GMP0012,MEDICINE,TULBROS FORMULATIONS,CARDIAC,STRIP,10 TAB,17.36,11.5
13,TAB,AMLODIPINE 5  +  HYDROCHLOROTHIAZIDE 12.5,GMP0013,MEDICINE,TULBROS FORMULATIONS,CARDIAC,STRIP,10 TAB,44.5,20.5
14,TAB,AMLODIPINE 5 MG,GMP0014,MEDICINE,TULBROS FORMULATIONS,CARDIAC,STRIP,10 TAB,29,12
15,TAB,AMLODIPINE 5 MG + ATENOLOL 25 MG,GMP0015,MEDICINE,TULBROS FORMULATIONS,CARDIAC,STRIP,10 TAB,42,13.5
16,TAB,AMLODIPINE 5 MG + ATENOLOL 50 MG,GMP0016,MEDICINE,TULBROS FORMULATIONS,CARDIAC,STRIP,10 TAB,48,15.5
17,TAB,AMLODIPINE 5 MG + ATORVASTATIN 10 MG,GMP0017,MEDICINE,TULBROS FORMULATIONS,CARDIAC,STRIP,10 TAB,70,33
18,TAB,AMOXICILLIN  500 + CLAVULANIC ACID 125 MG,GMP0018,MEDICINE,BAJAJ FORMULATION,ANTIBIOTIC,STRIP,10 TAB,,
19,TAB,AMOXYCILLIN  250 MG + POTASSIUM CLAVULANIC ACID 125 MG,GMP0019,MEDICINE,BAJAJ FORMULATION,ANTIBIOTIC,STRIP,10 TAB,275,107
20,TAB,ATENOLOL 25 MG,GMP0020,MEDICINE,TULBROS FORMULATIONS,CARDIAC,STRIP,14 TAB,23.8,8.5
21,TAB,ATENOLOL 50 MG,GMP0021,MEDICINE,TULBROS FORMULATIONS,CARDIAC,STRIP,14 TAB,27,9.5
